V0,r,alpha,Cl,Cd,a,a_prime,phi,F,p_n,p_t,sigma,v_rel,beta,chord,af_id
3.0,19.10202963629434,0.16576188628598487,0.43224963971979774,0.09286521337674825,0.24314018213508237,0.0006328313632435794,0.22309645531906794,0.9999999999999999,162.3384101094589,1.8623762152527839,0.14228767714426335,10.262487687672872,10.37097608496841,5.692531175149338,9
3.0,21.48978334083113,-0.33712124182159364,0.39363272205463734,0.0684684456214039,0.24873784993907408,0.0012554961823987,0.19744257032536922,0.9999999999999998,185.45374422084342,4.679186555010622,0.12759061759957246,11.48940049074895,9.403999874823056,5.74261089072697,10
3.0,23.87753704536793,-0.6470134019210221,0.3609871488747113,0.04458986886498978,0.25206770535652945,0.002450895663223635,0.17715538960074007,0.9999999999999992,207.89300489665072,11.290499013443021,0.11527599459637196,12.732192739521459,8.55152220118208,5.764836827022541,11
3.0,26.26529074990471,-0.8523615457346345,0.3326386621492198,0.02680041683311757,0.25287547477752953,0.00331960167747471,0.1610334812644108,0.999999999999998,229.1677582809419,18.519784728190935,0.10463789092536317,13.979019026001994,7.833153039627247,5.756119529852528,12
3.0,28.65304445444151,-0.9988893372316081,0.3119327048863001,0.017567656823270786,0.25555426302931034,0.003460088912603655,0.14727459944576443,0.9999999999999957,251.74412485527816,22.976042590465653,0.09503454203837006,15.219400618005476,7.191354972096501,5.70309851275065,13
3.0,31.0407981589783,-1.0756738684113438,0.2999050059655328,0.014815994781432583,0.26317044865888506,0.0030550937966840374,0.1347691331016598,0.999999999999992,277.97797822260304,23.799152070995536,0.08621027288326301,16.45179592190482,6.551629060916145,5.604676021602162,14
3.0,33.4285518635151,-1.08847316397188,0.29242244422974983,0.014258121417510898,0.2723413034850227,0.0025473605335660267,0.12376600757226905,0.9999999999999863,305.93788891228525,23.002598390509522,0.07815106843243552,17.68303959456489,5.933995702189942,5.471559126660524,15
3.0,35.81630556805188,-1.0598918669854056,0.28781955063354386,0.013958082367967778,0.2827209125343699,0.002124913139969102,0.11400394836359018,0.999999999999978,335.43055200667993,22.01765918376539,0.07095760591443753,18.91606012973762,5.346089613189348,5.322778014171772,16
3.0,38.20405927258868,-1.0177975865796274,0.28575134137138014,0.013715106936117227,0.29506553830548465,0.0017826296492918937,0.10514358569677175,0.9999999999999674,366.98975474522854,21.008751758212025,0.06456941044077662,20.15058730439368,4.796333947019595,5.16648228816705,17
3.0,40.59181297712547,-0.9757187970963725,0.284417910009867,0.013434678675613923,0.30847514821663713,0.0015031840854639966,0.09715588400739295,0.9999999999999537,399.8943855445612,19.99346594729382,0.05904139212647258,21.386680979644026,4.296593562725417,5.019421327310202,18
3.0,42.97956668166226,-0.933243252530775,0.282779897760237,0.01307489856939149,0.3218099134128235,0.0012748889679076749,0.09004955214607203,0.9999999999999336,433.20517764747626,19.006254142705387,0.054276988103422866,22.624460754783314,3.846955194686785,4.885807888739599,19
3.0,45.36732038619906,-0.8905697561931776,0.2804213394866063,0.012705995211413416,0.3343057971507103,0.0010821429905332868,0.08378487358507114,0.9999999999999005,466.49859116500596,17.971630991513198,0.050180020175225395,23.863747632122504,3.445342056797746,4.767959675121795,20
3.0,47.75507409073585,-0.8419195864475615,0.279201361705243,0.012339776627848673,0.3462450577157677,0.0009287360701979728,0.07820369500618304,0.9999999999998456,501.8552198520089,17.087615760092426,0.046537287207180505,25.104509155349053,3.07691390977302,4.654566079625438,21
3.0,50.14282779527264,-0.7934463344991078,0.27890596894918684,0.011973535376105194,0.35898075407539715,0.0008011321387954586,0.07305709951686967,0.9999999999997655,538.7078957302838,16.248625959616586,0.043240134455393195,26.346097574111138,2.733562457425842,4.54103105171191,22
3.0,52.53058149980943,-0.7497115484674395,0.279711268313737,0.011606228388667664,0.37320095537007125,0.000694286149896031,0.06821218773957631,0.9999999999996626,577.7074997044468,15.452953584068604,0.04024889951353431,27.588268396818222,2.412234674442038,4.42817557762473,23
3.0,54.91833520434623,-0.7168571074525922,0.2818140877732387,0.011242362235076861,0.3897740089052072,0.0006031002097145991,0.06354012526778569,0.9999999999995576,619.7016795653195,14.670108262532027,0.03753201959470929,28.830764705547335,2.111690772172129,4.316958876583997,24
3.0,57.30608890888303,-0.6843275413884,0.2844419290334372,0.010873392360868216,0.40725517083512686,0.0005249718356269849,0.05916345471711845,0.9999999999994367,663.3804182572011,13.903139162608912,0.03505936446510853,30.073840623791774,1.828396455235506,4.207880735790049,25
3.0,59.69384261341982,-0.6501837678676892,0.2874794051027901,0.010504856442048708,0.42557636251801534,0.0004570346276444343,0.05505374082826741,0.9999999999993024,708.6935622481392,13.13270390588424,0.032807266389616695,31.317431092895085,1.558783420877334,4.101646187027423,26
3.0,62.08159631795661,-0.6161622183449218,0.29089342157577325,0.010142797348842051,0.4448152289102578,0.00039690053407631296,0.05117343754023743,0.9999999999991639,755.7422549272181,12.334667750747276,0.030753792037242766,32.56145282483999,1.302436869719713,3.998712335312356,27
3.0,64.46935002249339,-0.5855726097797436,0.29440866668344395,0.009791668964284348,0.4643405974184908,0.0003432457356893585,0.047553277524204574,0.9999999999990009,803.9656625460832,11.5029337324873,0.028879312373050074,33.80595614789711,1.064427371073839,3.899408676051565,28
3.0,66.85710372703018,-0.5582253851988606,0.2980427006849613,0.009451197596977188,0.48405800673305477,0.0002953602375163718,0.04417372702506918,0.9999999999988037,853.3235931314404,10.644454536501614,0.02716063107801975,35.050913341162676,0.8434461662411673,3.803172543681295,29
3.0,69.24485743156698,-0.5316992460884684,0.3017966913532838,0.009111030973100731,0.5037755495175035,0.00025355133523988313,0.041025923786825326,0.9999999999985487,903.6932421327438,9.801651303351052,0.025577394017403804,36.29634387867348,0.636564186841789,3.709389453654426,30
3.0,71.63261113610376,-0.5029057829841603,0.30594657981521894,0.008779773869278149,0.5240068189714885,0.00021616369792259898,0.038045916792126294,0.9999999999982634,955.6762257079101,8.942245476771488,0.024109740141673486,37.54211278925784,0.4370289000217617,3.617111741572532,31
3.0,74.02036484064057,-0.46937095544087404,0.310714346455358,0.008467037806424337,0.5451556369216589,0.00018159728128074935,0.03518641683362989,0.9999999999979999,1009.8329130971345,8.02119845728842,0.022741939707001377,38.788112586519894,0.239656793338798,3.525634918177657,32
3.0,76.40811854517736,-0.42857597441540585,0.31634495825765496,0.008181193171562483,0.5675972345023468,0.0001485193267678932,0.032408129750028145,0.999999999997843,1066.7856509446988,6.989970666237055,0.021459155482954958,40.03425707691244,0.0396776881472392,3.434082670567315,33
3.0,78.79587224971415,-0.37661372947920513,0.3233999274264451,0.007908981333259894,0.5926753422768005,0.00011622607087757046,0.02960611590322541,0.999999999998023,1128.3809921192174,5.817148464796028,0.020250496338894856,41.28040672248918,-0.1728281243479747,3.341933111457596,34
3.0,81.18362595425094,-0.3101867527190083,0.33256478967567904,0.007615802347296589,0.6218857048673864,8.518741211379336e-05,0.026676951980505233,0.9999999999986612,1197.0688885726508,4.525836602964321,0.019106435345793805,42.526501594489346,-0.4070838313820219,3.248678447761413,35
3.0,83.57137965878775,-0.22104501984945468,0.34478605442472365,0.007330411002371967,0.6576904898782272,5.003705997379985e-05,0.023462892380047555,0.9999999999994986,1277.3266877138446,2.816947192098276,0.01803166796640767,43.77221451332369,-0.680377614461304,3.156109679927359,36
3.0,85.95913336332453,-0.1019852455745831,0.3607047427203571,0.007077903875410422,0.7002819070039101,8.176352875997602e-06,0.019974743280935632,0.9999999999999228,1372.385923265943,0.4869641431713413,0.017022381584805176,45.01755348946907,-0.999293610427649,3.064580004833834,37
3.0,112.2244241132292,0.4226777355487178,0.4269352592473663,0.006746052803425814,0.677221026985351,1.1701029108681133e-05,0.01647764152558254,0.9988397700578631,1750.3419540873133,1.186455717365805,0.00824427542113838,58.76937777891263,-1.724325762660474,1.937753326819164,48
3.0,114.6121778177661,0.33674875879804445,0.41638333586424325,0.006736804267912522,0.6248459536856188,4.125273938865688e-05,0.01875131111547671,0.9851860009776008,1672.2268378730844,4.303302261551414,0.007580565037511854,60.023967870166594,-1.508125114401624,1.819662967336163,49
3.0,116.9999315223028,1.2812100866393512,0.5320195737111173,0.006858310871972574,0.18517818646190634,0.00019942669570552495,0.03987326366162606,0.7511378001534008,612.5140804030461,16.53141240331933,0.0020404491825906338,61.32212589425484,-1.24238770627297,0.4999999999999998,50
3.5,9.55101481814717,15.136500716920377,0.523332027898057,0.28851283393980326,0.1294090523488585,0.003297176737345627,0.5457700044180722,0.999999999999998,67.6378577158001,2.8376797282942126,0.2683187133763593,5.87017322310237,14.25845480678574,5.36733985481492,5
3.5,11.93876852268396,8.86908421466826,0.6979195134384155,0.24191705344493633,0.19340935231278963,0.007620441614361994,0.4213502001608688,0.9999999999999977,117.07167452116417,10.2917401465887,0.21804447399439816,6.902484207780375,13.39714163725627,5.452092684226667,6
3.5,14.32652222722075,4.777842024426288,0.7638381851574091,0.18482017067432244,0.25266713968597193,0.008371722836340939,0.3329254611359925,0.9999999999999988,170.04567488119062,16.293326222308565,0.18463450246188035,8.003644412478291,12.42201947682708,5.540031728503847,7
3.5,16.71427593175755,2.982449327709391,0.696507231533968,0.13235971217232823,0.26564279902531507,0.007446480122898996,0.2836575939169306,0.9999999999999974,204.9534749669862,19.70792549697248,0.16059465405791176,9.183763580585305,11.39457131628079,5.621824261194381,8
3.5,19.10202963629434,1.8815790305838984,0.6339152148884931,0.09315832088165792,0.27568271099034103,0.007008884410725112,0.24657867560056848,0.9999999999999949,239.7621696269087,24.217763822871994,0.14228767714426335,10.386070365851044,10.37097608496841,5.692531175149338,9
3.5,21.48978334083113,1.151163463866677,0.5832751164549294,0.06866029265385987,0.28688276672315693,0.0063305481263495,0.21695360039803963,0.9999999999999916,276.35077836160104,27.665525303231856,0.12759061759957246,11.59509827407301,9.403999874823056,5.74261089072697,10
3.5,23.87753704536793,0.6650177981142331,0.5393774819635896,0.04460571026355336,0.2951898150739406,0.00645484435887944,0.19359021568158294,0.9999999999999852,312.26758895442856,34.82988722077126,0.11527599459637196,12.822505586544349,8.55152220118208,5.764836827022541,11
3.5,26.26529074990471,0.3280755625237415,0.5007226281482611,0.02670968531836312,0.3000493743693984,0.006504639357845421,0.17517155716757554,0.9999999999999709,346.74230220518785,42.47138612467694,0.10463789092536317,14.057082567584876,7.833153039627247,5.756119529852528,12
3.5,28.65304445444151,0.08601532810470047,0.4709826041512231,0.017435317557446994,0.3051784655627653,0.006065802152108752,0.15974531967746552,0.9999999999999442,381.9118438172757,47.11392021797073,0.09503454203837006,15.288393094573658,7.191354972096501,5.70309851275065,13
3.5,31.0407981589783,-0.05653103858121611,0.4509211836020038,0.0146833668521701,0.3131337199195634,0.005253988573270331,0.14609209278162313,0.9999999999999047,419.66326805814106,47.854613675728984,0.08621027288326301,16.514273824406157,6.551629060916145,5.604676021602162,14
