V0,r,alpha,Cl,Cd,a,a_prime,phi,F,p_n,p_t,sigma,v_rel,beta,chord,af_id
25.0,7.163261113610377,41.2525723065087,0.09277019120853386,0.3636524516076723,0.03375275795248861,0.002666979130843231,1.3396143589202258,0.9999999999817268,749.2285292823249,13.93518413015311,0.3528248694234159,24.816390016872298,14.94855563474368,5.293325313383697,4
25.0,9.55101481814717,37.07504342286707,0.3412922101293421,0.3713353478007535,0.032963332175830355,0.0458661596425642,1.2546581936849113,0.9999999924535621,976.4042300806652,444.4083978189047,0.2683187133763593,25.43646789946023,14.25845480678574,5.36733985481492,5
25.0,11.93876852268396,33.23996164017623,0.679230359161628,0.3541945259688939,0.036458546796028876,0.07184335620980249,1.1726906387946252,0.9999997445777877,1345.0396757186718,1114.6834583209975,0.21804447399439816,26.132148169169778,13.39714163725627,5.452092684226667,6
25.0,14.32652222722075,29.162263925843092,1.3074456485966737,0.2922063618704082,0.04883582506403264,0.10831384949620683,1.084502295469815,0.9999976627607142,2134.2216128484224,2502.314701893614,0.18463450246188035,26.8972814577726,12.42201947682708,5.540031728503847,7
25.0,16.71427593175755,26.0986650844463,1.693395726186192,0.2359219983925027,0.0576209358204249,0.11054310514475274,1.0131000554320653,0.999988534261899,2910.6774873549957,3482.986946334016,0.16059465405791176,27.766796895614796,11.39457131628079,5.621824261194381,8
25.0,19.10202963629434,23.79823707973602,1.834241635276695,0.19685048406921135,0.06114123517710758,0.09801822549956316,0.9550849055506732,0.9999611936911155,3516.4358019244746,3988.165357788206,0.14228767714426335,28.751272968865386,10.37097608496841,5.692531175149338,9
25.0,21.48978334083113,21.882813288192033,1.8523675749538524,0.17558636441157732,0.0620709970340281,0.08302185207532677,0.9047775351617041,0.9998986130685156,4011.9196831369195,4216.618094844885,0.12759061759957246,29.821431027070197,9.403999874823056,5.74261089072697,10
25.0,23.87753704536793,19.999394014599424,1.887389960408763,0.147486326621841,0.0636355633000742,0.07254541920445906,0.8570271254372165,0.9997839568468916,4561.902730108847,4504.281193262714,0.11527599459637196,30.96854509832148,8.55152220118208,5.764836827022541,11
25.0,26.26529074990471,18.068826516316875,1.9739326634564447,0.11386718836366855,0.06703180229773083,0.06612109390658961,0.8107944590462731,0.9996051176235211,5265.795431124147,4936.896815035836,0.10463789092536317,32.17865282943241,7.833153039627247,5.756119529852528,12
25.0,28.65304445444151,16.38483545702377,1.9922320310416184,0.08197290561967915,0.06796649965882263,0.05889411236202679,0.770201781076113,0.9993375644661435,5817.213238133758,5196.282569850192,0.09503454203837006,33.46474788292849,7.191354972096501,5.70309851275065,13
25.0,31.0407981589783,14.915605195766538,1.9910349337893911,0.05765492851999089,0.06810076403803643,0.05215255044800729,0.7333935520868198,0.9989651868809653,6311.168376363329,5363.952978474583,0.08621027288326301,34.80380877104392,6.551629060916145,5.604676021602162,14
25.0,33.4285518635151,13.60097473555141,1.9826929461092326,0.03959787959506501,0.0678410239612691,0.046149026883038714,0.699669186429134,0.9984722044500821,6769.265082757173,5470.686092532074,0.07815106843243552,36.18828309753197,5.933995702189942,5.471559126660524,15
25.0,35.81630556805188,12.442289578056187,1.9479877910914118,0.02757997919907301,0.0666176501094161,0.04047476333409673,0.6691854184912701,0.9978341010147714,7126.784684392815,5474.574509615351,0.07095760591443753,37.61531476990287,5.346089613189348,5.322778014171772,16
25.0,38.20405927258868,11.438876151816388,1.8692274427604791,0.022142814915408437,0.06382831494567948,0.034817241908441036,0.6420775039885114,0.9970155279844615,7299.379853105752,5324.680483996439,0.06456941044077662,39.08137503204373,4.796333947019595,5.16648228816705,17
25.0,40.59181297712547,10.510111836089628,1.7749969536625567,0.019343030791811044,0.06063629116842255,0.02983348886056051,0.6171453935929321,0.9960027726565445,7385.350716320495,5120.626403106384,0.05904139212647258,40.58010621476751,4.296593562725417,5.019421327310202,18
25.0,42.97956668166226,9.638846784195142,1.669110500091312,0.017486433752978987,0.057172688362806354,0.025502676270862994,0.5940912798142459,0.9947720159632646,7391.151569463756,4880.729916466435,0.054276988103422866,42.10885482576864,3.846955194686785,4.885807888739599,19
25.0,45.36732038619906,8.808289429927683,1.558901964712282,0.016110788140751883,0.053699395791749364,0.02181116668333471,0.5725858477801961,0.9933022021808743,7343.935896996253,4627.344093105279,0.050180020175225395,43.66407838823308,3.445342056797746,4.767959675121795,20
25.0,47.75507409073585,8.024244989477396,1.4501998409032366,0.015029708224970089,0.05026721281061995,0.01866544056461638,0.5524714065897787,0.9915670656170668,7249.928936182453,4366.621618313255,0.046537287207180505,45.243247049317,3.07691390977302,4.654566079625438,21
25.0,50.14282779527264,7.2863767962049835,1.346254453558754,0.014115128429762348,0.0469356184819343,0.01599089558691718,0.5336005638364706,0.9895385826022944,7118.235410600171,4105.136362576263,0.043240134455393195,46.84406748716237,2.733562457425842,4.54103105171191,22
25.0,52.53058149980943,6.590846222214427,1.247798923786225,0.013331829343107863,0.043743141256808615,0.01371822643135054,0.5158530374808481,0.9871855410427471,6956.67382373235,3847.2732826108804,0.04024889951353431,48.46449046093343,2.412234674442038,4.42817557762473,23
25.0,54.91833520434623,5.932519484577217,1.1556175209392667,0.012658559466990241,0.04073195057137429,0.011791775254391476,0.49911758771376397,0.9844740378535805,6774.902926379186,3597.6917414777454,0.03753201959470929,50.10269093496949,2.111690772172129,4.316958876583997,24
25.0,57.30608890888303,5.310719622265015,1.0692270151322352,0.012038298418117281,0.037891842725043756,0.010153656601001813,0.48332071424523626,0.9813636581528614,6575.16488732379,3357.0363594682512,0.03505936446510853,51.75717902810853,1.828396455235506,4.207880735790049,25
25.0,59.69384261341982,4.72484347725554,0.9883705775065148,0.011468879693182206,0.0352235256987218,0.008758229289629948,0.46838961135008644,0.9778094768113268,6361.3566093714735,3126.3049983705837,0.032807266389616695,53.42654943311675,1.558783420877334,4.101646187027423,26
25.0,62.08159631795661,4.17149602145528,0.9128613141760226,0.010944133641926606,0.032727218188866085,0.00756805274134746,0.4542577849950056,0.9737609709604735,6137.336108973893,2906.372582436084,0.030753792037242766,55.10954441412353,1.302436869719713,3.998712335312356,27
25.0,64.46935002249339,3.643163512820564,0.8415279766858664,0.010458222649346292,0.030364985775186572,0.006544381769169103,0.4408825937716169,0.9691577191394549,5899.779220781839,2694.7423050113393,0.028879312373050074,56.80507751553741,1.064427371073839,3.899408676051565,28
25.0,66.85710372703018,3.1382400118376736,0.774053648937077,0.009999650029970395,0.028122793560046495,0.005660360103847392,0.42821316659941455,0.9639331194311233,5648.994492535394,2490.8757350469373,0.02716063107801975,58.512139950428406,0.8434461662411673,3.803172543681295,29
25.0,69.24485743156698,2.656690448145774,0.7104126411731891,0.00955147593720193,0.0259977879295492,0.0048959097490618225,0.41619776949788645,0.9580130778517164,5387.1907648222395,2295.1740526593444,0.025577394017403804,60.229815037935616,0.636564186841789,3.709389453654426,30
25.0,71.63261113610376,2.2022527407791053,0.6509458285408388,0.009124160513234766,0.023999881740493664,0.00423596539150296,0.40478378753020294,0.9513156048209812,5119.192673074937,2108.866188805047,0.024109740141673486,61.95724217265992,0.4370289000217617,3.617111741572532,31
25.0,74.02036484064057,1.7774261359102788,0.5958473609271918,0.00873524185409477,0.02213658520180336,0.003667206002216883,0.39392437141195774,0.943748148672834,4849.572966258412,1932.850517612319,0.022741939707001377,63.693641120823386,0.239656793338798,3.525634918177657,32
25.0,76.40811854517736,1.3842607625272336,0.5456204196202827,0.008381656294224347,0.020426764437946648,0.0031803952405064628,0.3835720473208059,0.9352080299116963,4585.554302463773,1769.1393770926782,0.021459155482954958,65.43831895564796,0.0396776881472392,3.434082670567315,33
25.0,78.79587224971415,1.0299280601260676,0.5009956738233852,0.008050727115286215,0.018901240178510092,0.0027694179330074687,0.37367884890874914,0.9255813021715164,4337.392719431666,1620.7863799779445,0.020250496338894856,67.19065376506114,-0.1728281243479747,3.341933111457596,34
25.0,81.18362595425094,0.7214704654939936,0.46230324733852346,0.007714341208764732,0.017576331485876538,0.00242702521768444,0.3642067149003061,0.914736530921466,4112.439276419294,1489.6171611139018,0.019106435345793805,68.9501105305099,-0.4070838313820219,3.248678447761413,35
25.0,83.57137965878775,0.47260837626928165,0.4314426596384172,0.007393865009174071,0.01654272232791793,0.0021558312919561233,0.35509337571997834,0.9025373243471488,3935.4398662634926,1383.0728496305433,0.01803166796640767,70.71611606601591,-0.680377614461304,3.156109679927359,36
25.0,85.95913336332453,0.2878224158759224,0.40908507955104617,0.007110765264184705,0.015837308643514316,0.0019505905022392837,0.3463021181327647,0.8888175831664857,3819.1030744274785,1303.5383928014996,0.017022381584805176,72.48818024466601,-0.999293610427649,3.064580004833834,37
25.0,88.34688706786133,0.12677797266150392,0.3899143455548447,0.00688831469900943,0.015256518142905165,0.0017777423832473565,0.33788481248821256,0.8733338198253708,3717.565277000604,1232.8712458068185,0.0160673394817721,74.26595173375361,-1.320525255517711,2.972992647082487,38
25.0,90.73464077239812,-0.0305531167358275,0.3711101023967542,0.006742450316412141,0.01469213480932445,0.0016206387550053132,0.3298544723854083,0.8558191068545682,3605.1270578844105,1161.5354401031045,0.015158878243755013,76.04905770843155,-1.623298762065715,2.880705106690617,39
25.0,93.1223944769349,-0.20651741989977523,0.34963465708928754,0.006691249565128548,0.014022708975208902,0.0014640921387185954,0.3222267955979719,0.8359550613212646,3451.794487664845,1079.467968989451,0.014289579484189312,77.83715007859885,-1.884368146311783,2.786969376686517,40
25.0,95.51014818147172,-0.4185412346265309,0.3235121282867745,0.006676732448168093,0.013163553422870997,0.0013004485808082028,0.31500312633010125,0.813372313815164,3236.430894503671,981.2073858573181,0.01345273410366683,79.62996404439302,-2.086230093232373,2.691030938627057,41
25.0,97.89790188600848,-0.7272931466502577,0.2854390924195619,0.0066591552023000525,0.011803698555408713,0.001100845912978677,0.30825707934754926,0.7875707076484848,2884.2561694376404,844.8030940140246,0.012641459804872619,81.42730174594895,-2.163998201705838,2.591965555977676,42
