V0,r,alpha,Cl,Cd,a,a_prime,phi,F,p_n,p_t,sigma,v_rel,beta,chord,af_id
23.0,9.55101481814717,37.73600658368247,0.3355087726592215,0.37500541054933656,0.03393447268251656,0.03942224906621489,1.2308133860778754,0.9999999934964593,849.9217710045092,349.2488457924246,0.2683187133763593,23.56856334021081,14.25845480678574,5.36733985481492,5
23.0,11.93876852268396,33.612547586278744,0.67442316781788,0.3576557115146846,0.038272436604117256,0.06477651449478844,1.1438126993031186,0.9999997882157067,1192.8317817233562,918.5387723657025,0.21804447399439816,24.30155021604094,13.39714163725627,5.452092684226667,6
23.0,14.32652222722075,29.277552969654202,1.2981881370015689,0.29387551681478075,0.05224463178602259,0.09955307944953039,1.0511336778781413,0.9999981465237885,1925.5696014557607,2099.2013709568237,0.18463450246188035,25.1137167530447,12.42201947682708,5.540031728503847,7
23.0,16.71427593175755,25.962023500395198,1.700535708194737,0.23362159598902857,0.06296986916386124,0.10344432082224335,0.9753344188975794,0.9999912618106265,2677.017953452225,2979.4139550890422,0.16059465405791176,26.032088611907756,11.39457131628079,5.621824261194381,8
23.0,19.10202963629434,23.51788055986428,1.837116500012321,0.19397334622095533,0.06732287593995337,0.09180976726352333,0.9148109702018251,0.9999710467438149,3255.6825582322617,3417.312814875102,0.14228767714426335,27.0700319651378,10.37097608496841,5.692531175149338,9
23.0,21.48978334083113,21.48250686836652,1.8609172260308282,0.17045758868734867,0.06901440235665417,0.0782794609703773,0.8624100791212248,0.9999255991705843,3747.689084895681,3641.7768931294513,0.12759061759957246,28.196350036565686,9.403999874823056,5.74261089072697,10
23.0,23.87753704536793,19.489910952889637,1.910664008052865,0.13981073522614065,0.07179400174776726,0.06920262691512508,0.8127541775295858,0.9998441985335049,4318.526320840608,3940.908928981006,0.11527599459637196,29.3985475222079,8.55152220118208,5.764836827022541,11
23.0,26.26529074990471,17.521643025907174,1.987689957312704,0.10546073916685586,0.07579145844084763,0.06301118272604313,0.7658635145284156,0.9997182267211598,4992.651035228295,4316.183625219519,0.10463789092536317,30.666522514983743,7.833153039627247,5.756119529852528,12
23.0,28.65304445444151,15.828772516867854,1.9968793146567274,0.07420481936259969,0.07699796656723763,0.056082654684720394,0.7251158609244186,0.9995295962221611,5524.964774228953,4541.15254012755,0.09503454203837006,32.0089527277584,7.191354972096501,5.70309851275065,13
23.0,31.0407981589783,14.384196544232172,1.9798036233064724,0.052200660593615986,0.07696785184498967,0.04941683222493368,0.6887379304463084,0.9992648070133332,5981.647708337309,4665.215337049025,0.08621027288326301,33.40302860917199,6.551629060916145,5.604676021602162,14
23.0,33.4285518635151,13.074733564117299,1.9742526316295124,0.03447623250217209,0.07715271439975913,0.04391651969468683,0.6551037543304034,0.998916693653104,6453.704858389906,4781.459722927677,0.07815106843243552,34.83920053890476,5.933995702189942,5.471559126660524,15
23.0,35.81630556805188,11.9801567747595,1.9173983163162713,0.025262653705384594,0.0751507926875642,0.03816220880342399,0.6257388884946182,0.9984525679328776,6746.739789007348,4741.22045752945,0.07095760591443753,36.31836308152052,5.346089613189348,5.322778014171772,16
23.0,38.20405927258868,11.025171331035597,1.8325086279427663,0.02107060094720909,0.0719176459129042,0.03276249167623524,0.59947620173686,0.997852997414447,6906.839220284857,4604.318824404373,0.06456941044077662,37.83323739008953,4.796333947019595,5.16648228816705,17
23.0,40.59181297712547,10.143306948697383,1.7375751116016334,0.018717572906116718,0.06837586500359824,0.02808710820826465,0.5753626495978769,0.9971036470053165,6998.478455427603,4432.579869669912,0.05904139212647258,39.37845229386724,4.296593562725417,5.019421327310202,18
23.0,42.97956668166226,9.320930289433196,1.6332449214266402,0.017121073727677863,0.06456510019851444,0.024042709686507003,0.5531617992365971,0.9961816696162572,7019.292965919657,4233.1779392229,0.054276988103422866,40.95130696083154,3.846955194686785,4.885807888739599,19
23.0,45.36732038619906,8.539079277285555,1.527019277301502,0.0158719867431314,0.060804924182270244,0.020616527034822675,0.5325064532391409,0.9950679690751353,6997.967112860584,4026.424344802161,0.050180020175225395,42.548212946742254,3.445342056797746,4.767959675121795,20
23.0,47.75507409073585,7.804156149972226,1.4235052808159987,0.0148662431557359,0.057114756416060126,0.017703944572811128,0.5132493406958666,0.9937371718402286,6937.129146650926,3815.0876569800143,0.046537287207180505,44.16679522108873,3.07691390977302,4.654566079625438,21
23.0,50.14282779527264,7.115592021744934,1.325399151424429,0.013998913267265172,0.05354770059718904,0.01523007089216696,0.4952390162122133,0.9921620825592892,6844.040696888833,3603.8699866135617,0.043240134455393195,45.804883644320604,2.733562457425842,4.54103105171191,22
23.0,52.53058149980943,6.469766961062735,1.232706234660177,0.013265822778442583,0.050122292851453865,0.013123497839404879,0.4783590147202156,0.9903114712627519,6723.018728003294,3394.772467426989,0.04024889951353431,47.460558879394725,2.412234674442038,4.42817557762473,23
23.0,54.91833520434623,5.860384840737318,1.146613507600368,0.012621973042737676,0.04690820218251946,0.011338973576710923,0.46247780967635077,0.9881528718117115,6585.774093459503,3193.2418269477344,0.03753201959470929,49.13207805462989,2.111690772172129,4.316958876583997,24
23.0,57.30608890888303,5.2869024924950665,1.0662452100770006,0.012026908005406765,0.04388016138193828,0.009819491067247301,0.4475242359147224,0.9856459256247319,6432.563594505135,2998.870165600611,0.03505936446510853,50.818077865812576,1.828396455235506,4.207880735790049,25
23.0,59.69384261341982,4.748405944104032,0.9913432277458918,0.011478150982315359,0.04104155177192814,0.008523633581174897,0.4334200629788312,0.9827461506779892,6267.241506561156,2812.6373993081556,0.032807266389616695,52.51725734842402,1.558783420877334,4.101646187027423,26
23.0,62.08159631795661,4.241322071266058,0.921675378917217,0.01096863639465989,0.03839298095475189,0.00741703808982584,0.4200956884702117,0.9794030947135979,6093.347502658555,2635.296601277142,0.030753792037242766,54.2284650690549,1.302436869719713,3.998712335312356,27
23.0,64.46935002249339,3.7580151612643746,0.8561000829153395,0.010491631922535143,0.0358934323727203,0.0064642792721076705,0.40750634219065096,0.9755562677884229,5907.827755800238,2464.789698675842,0.028879312373050074,55.95071962372345,1.064427371073839,3.899408676051565,28
23.0,66.85710372703018,3.2969438587968547,0.7941531554928705,0.010042535113458796,0.03352195842971224,0.0056396258963726615,0.39560228026677996,0.971137783015589,5709.9478795805435,2300.229326969214,0.02716063107801975,57.683109242783566,0.8434461662411673,3.803172543681295,29
23.0,69.24485743156698,2.857993666393643,0.7358020668548242,0.009605088278890835,0.03127631731013495,0.004924881837753117,0.384330382453519,0.9660719538461447,5501.675131012689,2141.985085296743,0.025577394017403804,59.42480579647228,0.636564186841789,3.709389453654426,30
23.0,71.63261113610376,2.4447465255523007,0.6814727730066178,0.00918457263964328,0.02917262170113601,0.004307071245487798,0.3736353114924642,0.9602748445615121,5288.182392232042,1991.4444812959985,0.024109740141673486,61.17503242605617,0.4370289000217617,3.617111741572532,31
23.0,74.02036484064057,2.0595766705767886,0.6314562144851515,0.008789429469698283,0.027224499280878903,0.003774718663526273,0.3634680362304972,0.9536512625426747,5074.534042532979,1849.7600289847144,0.022741939707001377,62.933092173247005,0.239656793338798,3.525634918177657,32
23.0,76.40811854517736,1.7048675447361532,0.5858872799211444,0.008440298074215083,0.02543845826962663,0.003316871572568566,0.35378690027692244,0.9460922670125516,4864.698808802131,1717.44091580031,0.021459155482954958,64.69835168303642,0.0396776881472392,3.434082670567315,33
23.0,78.79587224971415,1.3874971418708846,0.5457640806415763,0.008110924090873075,0.023862182731652994,0.002929975880666814,0.34453881569087547,0.9374799051852153,4670.570178609454,1598.1078961122346,0.020250496338894856,66.47025948343668,-0.1728281243479747,3.341933111457596,34
23.0,81.18362595425094,1.1144487707424027,0.5114976632621357,0.007770279004262576,0.022518355133565638,0.0026078581641255714,0.3356846892181447,0.9276765126699742,4499.803212356057,1493.6576658359616,0.019106435345793805,68.24834531371687,-0.4070838313820219,3.248678447761413,35
23.0,83.57137965878775,0.8994849526209023,0.48481337900007027,0.007442380215217163,0.021506254128103374,0.002352467595069224,0.3271629864793016,0.916537378036077,4375.363244743804,1410.3016007493745,0.01803166796640767,70.03208462249064,-0.680377614461304,3.156109679927359,36
23.0,85.95913336332453,0.7473045090661721,0.4661213064619209,0.0071618417793575286,0.02085781176514437,0.0021576086705409167,0.3189408025152365,0.9038847908867131,4307.2814084947895,1349.2996791822918,0.017022381584805176,71.82102827778293,-0.999293610427649,3.064580004833834,37
23.0,88.34688706786133,0.6175872431578462,0.4504879435207365,0.006937624591407234,0.02035296897818513,0.001993204303562443,0.31107025926003173,0.8894615746698035,4253.041081748943,1295.4745242969527,0.0160673394817721,73.61490667002752,-1.320525255517711,2.972992647082487,38
23.0,90.73464077239812,0.4903875350167404,0.43520756682895984,0.006790271582457087,0.019872152947572386,0.001843814630687762,0.30356581096832236,0.8729823170703499,4187.839840501985,1240.4280566284717,0.015158878243755013,75.41339896491709,-1.623298762065715,2.880705106690617,39
23.0,93.1223944769349,0.34349375616799804,0.41728990750633443,0.006737530231959482,0.019278169947095483,0.0016951771775040028,0.2964455105454673,0.8541042351772591,4081.883489132975,1175.09357282015,0.014289579484189312,77.21621350243645,-1.884368146311783,2.786969376686517,40
23.0,95.51014818147172,0.15964710076390531,0.3946739712008118,0.0067213775810600765,0.01847145628679338,0.0015398711361304046,0.2897136254816361,0.8324272804305396,3912.768861763435,1094.2098224565314,0.01345273410366683,79.02313992145884,-2.086230093232373,2.691030938627057,41
23.0,97.89790188600848,-0.12151144606005104,0.36007809751232467,0.006698243856463701,0.017097055725084565,0.0013507553885956877,0.2834491735735254,0.8074076976703704,3605.6422790415536,977.9243559456326,0.012641459804872619,80.834058248485,-2.163998201705838,2.591965555977676,42
23.0,100.2856555905453,-0.44833633219887403,0.319827371329934,0.006675036213309955,0.015443738117626515,0.001154775536218188,0.27753830451133454,0.7785492781707626,3222.5723793981856,845.7952383658912,0.011851789604096299,82.64855535922784,-2.175841166085,2.489323647505217,43
23.0,102.6734092950821,-0.7913847545477264,0.27752907232384455,0.00665550646716281,0.013686193585974527,0.0009659749377872132,0.271909425142211,0.7451935190705391,2803.563542350484,709.6969368327528,0.011085992386616677,84.46630815478906,-2.155303774975188,2.383917231097341,44
23.0,105.0611629996189,-1.1509736331861369,0.23310734512589423,0.00664403419779056,0.011814920219629176,0.0007828147102722269,0.2665478674806812,0.7064259415285049,2352.144428774154,570.7588090797107,0.010343247165022188,86.28707734192783,-2.102909521958467,2.275923816206998,45
23.0,107.4489167041557,-1.5279703443775858,0.18648930419137927,0.0066372173401125865,0.009809848095958798,0.0006031561424936702,0.26144294329540463,0.6609971898235081,1872.7059818350012,430.3265276078613,0.00962256517084278,88.1106385866063,-2.018403421317624,2.165466732053696,46
23.0,109.8366704086924,-1.9271769069273095,0.1370073513958004,0.006648638240867599,0.007597993126704209,0.0004209854106491425,0.25659884557017,0.607084739652831,1364.807643214164,288.2018254724458,0.008922851366161003,89.93674148894067,-1.89674321397277,2.052625082558482,47
23.0,112.2244241132292,-2.360364298567916,0.08307834547500229,0.006700987888293045,0.004997973371203792,0.0002230166481768394,0.25204755152121183,0.5417949685201602,820.7904211077667,142.21543839670804,0.00824427542113838,91.76507057328628,-1.724325762660474,1.937753326819164,48
