V0,r,alpha,Cl,Cd,a,a_prime,phi,F,p_n,p_t,sigma,v_rel,beta,chord,af_id
15.0,9.55101481814717,38.42909756267611,0.3294442163030558,0.37885386615803573,0.04049856184921716,0.017335216826550728,1.0799515583051553,0.999999998171713,428.4923472917073,98.02983536343864,0.2683187133763593,16.319254818219825,14.25845480678574,5.36733985481492,5
15.0,11.93876852268396,32.744214815266275,0.6893192472136245,0.3487200129519383,0.0518742252966076,0.04071565385585606,0.9656988860739553,0.9999999568921658,677.9306309739083,368.0259149940397,0.21804447399439816,17.29216870224061,13.39714163725627,5.452092684226667,6
15.0,14.32652222722075,26.52091535505749,1.4857412229947888,0.25445469858992714,0.08950925078234091,0.07919628595170472,0.8400627278470764,0.9999997754167151,1348.0066172515637,1068.9380985794407,0.18463450246188035,18.339783232459226,12.42201947682708,5.540031728503847,7
15.0,16.71427593175755,22.527810341882034,1.7909960012415775,0.19085257527171517,0.11000508256911856,0.07768425728451174,0.752437544694181,0.9999991805189684,1889.2756672323387,1425.1650734094935,0.16059465405791176,19.533988953111415,11.39457131628079,5.621824261194381,8
15.0,19.10202963629434,19.475676454802326,1.9342273238986731,0.1492963103082287,0.12523862647284614,0.0701094888375543,0.6813026521588333,0.9999978103962831,2416.096479563194,1668.1263234021487,0.14228767714426335,20.834087267509034,10.37097608496841,5.692531175149338,9
15.0,21.48978334083113,16.953927893936836,2.0167326494792874,0.11021940017325446,0.13860314967609086,0.0628960956833472,0.6204129182088088,0.9999953512885674,2962.1989192111905,1881.2321900564689,0.12759061759957246,22.224962783118755,9.403999874823056,5.74261089072697,10
15.0,23.87753704536793,15.065727569794099,1.977531764999878,0.08271440718250671,0.143527219508076,0.05430535837537059,0.5725790634105172,0.9999908040203629,3388.7634601193586,1989.0697478708391,0.11527599459637196,23.711802392176335,8.55152220118208,5.764836827022541,11
15.0,26.26529074990471,13.421642052471785,1.9239983419952147,0.05805947743481626,0.14676476202940303,0.04725496058911838,0.5313464508349657,0.9999835704559783,3797.288464182417,2080.285712042075,0.10463789092536317,25.258860700983618,7.833153039627247,5.756119529852528,12
15.0,28.65304445444151,11.908391512242527,1.903393083257494,0.034657047802756934,0.15185377929383176,0.04208439096130907,0.49373375708903383,0.9999735980528154,4260.529747132572,2193.915488708227,0.09503454203837006,26.84477000173952,7.191354972096501,5.70309851275065,13
15.0,31.0407981589783,10.806546111680454,1.8382814671802745,0.024070815861253543,0.15153575190044363,0.036594541856076516,0.46333760354085185,0.9999576694008229,4607.561823870594,2227.093713396559,0.08621027288326301,28.476012835384026,6.551629060916145,5.604676021602162,14
