V0,r,alpha,Cl,Cd,a,a_prime,phi,F,p_n,p_t,sigma,v_rel,beta,chord,af_id
10.5,9.55101481814717,38.830533539336066,0.32593164554736426,0.3810828787736,0.04988885592581214,0.004212920546263988,0.9265891623657876,0.9999999997588935,256.1130669381694,16.244661996576426,0.2683187133763593,12.47681887157366,14.25845480678574,5.36733985481492,5
10.5,11.93876852268396,32.04732403655155,0.7083713684063015,0.3398779832698508,0.07351966004284084,0.02690287731083953,0.793167071990553,0.9999999966180642,460.0481452100194,165.74854557239743,0.21804447399439816,13.651883963744774,13.39714163725627,5.452092684226667,6
10.5,14.32652222722075,24.355911314546752,1.5861293884621468,0.2251009196255456,0.1532167822780406,0.0627073658929254,0.6419075035531402,0.9999999939972892,1051.5337503826663,575.7266930361078,0.18463450246188035,14.850279130346207,12.42201947682708,5.540031728503847,7
10.5,16.71427593175755,19.87366332275167,1.8591954043930654,0.16968621203902567,0.19995948028276378,0.05936657826837956,0.5457451649103202,0.9999999888238804,1512.674400633811,739.547372176809,0.16059465405791176,16.184070879232074,11.39457131628079,5.621824261194381,8
10.5,19.10202963629434,16.575706540664235,1.976324644317642,0.11883251148991118,0.23924589136812296,0.052900287022003965,0.4703198534803033,0.9999999837506741,1966.8547613870116,855.4741592790505,0.14228767714426335,17.626702725319735,10.37097608496841,5.692531175149338,9
10.5,21.48978334083113,14.504011011308071,1.9336262246576184,0.08985007649921485,0.2594562635790877,0.044725602723202806,0.41728502673869844,0.9999999727391476,2335.882635082646,908.2912398603007,0.12759061759957246,19.18602043025491,9.403999874823056,5.74261089072697,10
10.5,23.87753704536793,12.806074700209196,1.88334474214013,0.06509602598959231,0.27862647236191435,0.03832478731767147,0.37277190541607963,0.9999999598939838,2715.040726972694,954.9808548133024,0.11527599459637196,20.79751810293589,8.55152220118208,5.764836827022541,11
10.5,26.26529074990471,11.278701107897456,1.8458089201649157,0.04018192770415688,0.3001010444467026,0.033519503473770605,0.3335763002083033,0.9999999494782329,3120.9692418988775,1005.9660874408759,0.10463789092536317,22.444697824330866,7.833153039627247,5.756119529852528,12
10.5,28.65304445444151,10.217984564282776,1.7828726624357112,0.02599141474830303,0.312022102423671,0.029121023755507937,0.3038618146805047,0.9999999270867429,3479.647301711291,1035.660265747808,0.09503454203837006,24.143018197530743,7.191354972096501,5.70309851275065,13
10.5,31.0407981589783,9.526123476939102,1.7174241163940165,0.020634952485534853,0.3175474826419956,0.02519333751393549,0.2806212372795115,0.999999884436106,3805.5618676764648,1047.5142165182774,0.08621027288326301,25.873562594776462,6.551629060916145,5.604676021602162,14
10.5,33.4285518635151,9.058129576759136,1.658493571886333,0.01879086089420643,0.3193169912815052,0.021867631805614674,0.2616734671621979,0.9999998083611042,4110.450899868971,1051.0761987528158,0.07815106843243552,27.627534064313526,5.933995702189942,5.471559126660524,15
10.5,35.81630556805188,8.72511099686,1.6066903968913682,0.017787900829929384,0.31924477294524434,0.01911945530628295,0.245600299527059,0.9999996790985298,4403.527225645233,1052.1189197701945,0.07095760591443753,29.398574704928407,5.346089613189348,5.322778014171772,16
10.5,38.20405927258868,8.470661212915939,1.5623797623631341,0.017128414084645924,0.31845656099115877,0.01683912676642031,0.2315642665600899,0.9999994672464942,4690.925175054542,1051.9459324571922,0.06456941044077662,31.18168279244084,4.796333947019595,5.16648228816705,17
10.5,40.59181297712547,8.247815155276186,1.5224785524404014,0.016513352863891877,0.3179030821710857,0.014937772386222195,0.21895275401807202,0.9999991355800596,4979.487308537369,1051.4887138785195,0.05904139212647258,32.97316010238166,4.296593562725417,5.019421327310202,18
10.5,42.97956668166226,8.050288289027717,1.4840913462423657,0.015893010567067593,0.3172386441049744,0.013337141264427428,0.2076575898753216,0.999998614773905,5266.504052652731,1050.8555991707829,0.054276988103422866,34.77252049311484,3.846955194686785,4.885807888739599,19
10.5,45.36732038619906,7.867209584888683,1.4462914435827192,0.015320531298700969,0.3166056297434921,0.011975493160548835,0.19745279212238118,0.9999978073360799,5553.137875126007,1049.9088571898865,0.050180020175225395,36.57826568244928,3.445342056797746,4.767959675121795,20
10.5,47.75507409073585,7.706738581891215,1.4116895107363439,0.014793888875769719,0.31588544600682666,0.010808677048570945,0.18822176054349443,0.9999965572208681,5838.254212679829,1048.774145507668,0.046537287207180505,38.389782854934424,3.07691390977302,4.654566079625438,21
10.5,50.14282779527264,7.571018411762729,1.381013330110995,0.014308820588270545,0.3149877858071618,0.00980182546816109,0.17986038337842283,0.9999946218924074,6120.7598351672195,1047.5177009629565,0.043240134455393195,40.20649204857492,2.733562457425842,4.54103105171191,22
10.5,52.53058149980943,7.454920592808117,1.353966737318812,0.0138658942459078,0.3140484392357223,0.008927290498501148,0.17222586639207937,0.9999916513108795,6401.854415365585,1046.1724987192986,0.04024889951353431,42.02749307575155,2.412234674442038,4.42817557762473,23
10.5,54.91833520434623,7.350881468552003,1.330578353854019,0.013463649851839345,0.3133448530888918,0.008163536511920689,0.16516456048151673,0.9999871637054928,6684.6777266555655,1044.8199974257736,0.03753201959470929,43.85180308690817,2.111690772172129,4.316958876583997,24
10.5,57.30608890888303,7.260958426029646,1.3099571007345219,0.013092889056168561,0.31269591562865806,0.0074925865912029155,0.1586506887333583,0.9999803759349686,6967.406743436914,1043.4452587868495,0.03505936446510853,45.679323274860295,1.828396455235506,4.207880735790049,25
10.5,59.69384261341982,7.18375433846986,1.29188504656709,0.012750213880162765,0.3122158422085238,0.006900329938401025,0.15259758805359935,0.9999701949717393,7251.566383836682,1042.090698977291,0.032807266389616695,47.509516083092294,1.558783420877334,4.101646187027423,26
10.5,62.08159631795661,7.1163829235875795,1.276053785072768,0.012427779412776124,0.31193994057701907,0.006375276858997827,0.1469476436983439,0.9999550126939662,7537.879064850055,1040.8024368770753,0.030753792037242766,49.34204503050855,1.302436869719713,3.998712335312356,27
10.5,64.46935002249339,7.053688928909659,1.261677637760255,0.012112970099946762,0.311666659692128,0.005907714221448214,0.14169937766759488,0.9999322871478397,7823.875074263823,1039.5799591739972,0.028879312373050074,51.176959659788665,1.064427371073839,3.899408676051565,28
