V0,r,alpha,Cl,Cd,a,a_prime,phi,F,p_n,p_t,sigma,v_rel,beta,chord,af_id
21.0,9.55101481814717,38.233795256287785,0.33115311438350825,0.37776943095516613,0.03506529431498014,0.03337031233602066,1.2027643335812994,0.9999999946311817,731.2897344995224,268.35473551575575,0.2683187133763593,21.71792163403768,14.25845480678574,5.36733985481492,5
21.0,11.93876852268396,33.785959193709076,0.6721857705492371,0.35926664116833573,0.04045966779979503,0.058106762753937585,1.110102199001283,0.9999998335776478,1048.8404329632626,747.5996478930464,0.21804447399439816,22.495650727249465,13.39714163725627,5.452092684226667,6
21.0,14.32652222722075,29.116967080954424,1.3110829072026653,0.2915505540840736,0.05709826872964663,0.09259194643756528,1.0115938215754183,0.9999986342833111,1745.3949763196613,1771.3568992475095,0.18463450246188035,23.359017949120318,12.42201947682708,5.540031728503847,7
21.0,16.71427593175755,25.554707059982206,1.7217396974391757,0.2268126975845263,0.07010268613775573,0.09718485904894772,0.9314883021021987,0.9999938674939814,2465.5772834332943,2541.234657310801,0.16059465405791176,24.333494336842133,11.39457131628079,5.621824261194381,8
21.0,19.10202963629434,22.99358057208355,1.8425795326108971,0.18856114736106308,0.0752347571279388,0.08575784362965322,0.8689231053342146,0.9999801454782397,3007.3568432160682,2898.351853284942,0.14228767714426335,25.43112010712945,10.37097608496841,5.692531175149338,9
21.0,21.48978334083113,20.82256350794627,1.8811556025790528,0.16147510362221318,0.0783354538776439,0.0740364046812798,0.814154790792545,0.9999502169474054,3510.7965432804535,3132.569020545213,0.12759061759957246,26.61771521179921,9.403999874823056,5.74261089072697,10
21.0,23.87753704536793,18.72217177783064,1.948012609476996,0.1283652145503907,0.08292176332913884,0.06630236452496545,0.7626174973155905,0.999898214314733,4108.509227500459,3438.2552181394994,0.11527599459637196,27.878094184640133,8.55152220118208,5.764836827022541,11
21.0,26.26529074990471,16.78209996984974,1.9919146098432683,0.09480631718107213,0.08674072054603049,0.05965000798064471,0.7162189494272816,0.9998168481132864,4707.429315716052,3719.218562189342,0.10463789092536317,29.21150620334626,7.833153039627247,5.756119529852528,12
21.0,28.65304445444151,15.107944902244324,1.987108610257345,0.06604680841075922,0.08815465343596642,0.05290509179565593,0.6757979418972705,0.9996953993813904,5210.374480998003,3900.226360944262,0.09503454203837006,30.612530272008527,7.191354972096501,5.70309851275065,13
21.0,31.0407981589783,13.680000107006297,1.9681934084038057,0.044925750502366,0.088560388089851,0.04673580876909132,0.6397102802232326,0.9995252546330485,5667.0642508343435,4019.2058951887166,0.08621027288326301,32.06267521183888,6.551629060916145,5.604676021602162,14
21.0,33.4285518635151,12.43120031524585,1.9455383858720348,0.02985424717442136,0.08842483628159957,0.04128733445074431,0.6071348764788698,0.9992972646959315,6093.167419716054,4095.539683045683,0.07815106843243552,33.55393066383448,5.933995702189942,5.471559126660524,15
21.0,35.81630556805188,11.411109188167465,1.8732179660714896,0.02305788406110548,0.08568234275653493,0.03565330155521914,0.5790700306953889,0.9989862568155826,6342.973417105688,4036.7245686068536,0.07095760591443753,35.08600753805591,5.346089613189348,5.322778014171772,16
21.0,38.20405927258868,10.51769068918254,1.785485322387288,0.019968796793072,0.08201230814726172,0.030590216558262415,0.5538818898337193,0.99858022719331,6499.389379183576,3919.804788020455,0.06456941044077662,36.65020815548137,4.796333947019595,5.16648228816705,17
21.0,40.59181297712547,9.700143923261415,1.6895767014012424,0.018100865099683748,0.0779904362820469,0.026228079337855804,0.5308908918682491,0.9980643602722991,6592.316110924597,3776.0672658298076,0.05904139212647258,38.242409015957904,4.296593562725417,5.019421327310202,18
21.0,42.97956668166226,8.937788432550835,1.5893560158471698,0.016708081852557538,0.07384625226012118,0.022510518080993372,0.5097376085191243,0.9974212131203807,6634.6269359506605,3617.844033202526,0.054276988103422866,39.85920540830745,3.846955194686785,4.885807888739599,19
21.0,45.36732038619906,8.215897857965839,1.4886444679412865,0.015589175582383135,0.06978621098989866,0.01936859180023345,0.4901287695780727,0.9966324576404009,6641.939992402943,3454.971619988948,0.050180020175225395,41.497451330114814,3.445342056797746,4.767959675121795,20
21.0,47.75507409073585,7.540560570421139,1.3914838713721702,0.014672349057935066,0.06581951053655759,0.016700658753954847,0.47191162612632676,0.9956752482282859,6615.871856399799,3289.1022763013443,0.046537287207180505,43.154928220941045,3.07691390977302,4.654566079625438,21
21.0,50.14282779527264,6.9108044622463325,1.3002006005760174,0.013867242251053869,0.061999278604599396,0.014435526314457138,0.45492769521916815,0.9945246893207516,6562.6418305367815,3123.807091504865,0.043240134455393195,44.82961610404971,2.733562457425842,4.54103105171191,22
21.0,52.53058149980943,6.32301824711427,1.214373239945996,0.013187589600620725,0.05833076452285207,0.012503950585730865,0.4390606626760768,0.9931515204687656,6484.677614311585,2959.905392482023,0.04024889951353431,46.519752003369376,2.412234674442038,4.42817557762473,23
21.0,54.91833520434623,5.7700728669795645,1.1353405578346232,0.012576167144058516,0.0549084699296227,0.010868032129407863,0.4241644645676325,0.9915257243858462,6394.391638918626,2802.7091020893113,0.03753201959470929,48.22370853731088,2.111690772172129,4.316958876583997,24
21.0,57.30608890888303,5.251723849621861,1.061840991089708,0.01201008401087879,0.051686172116363144,0.00947222417708821,0.410173148957531,0.9896086412218568,6290.070366692289,2650.9729729447085,0.03505936446510853,49.940276969606735,1.828396455235506,4.207880735790049,25
21.0,59.69384261341982,4.766758602199712,0.9936586064298014,0.011485372331449178,0.04867281203221119,0.008279893875309698,0.39700327347642284,0.9873579086047893,6175.687834290295,2505.725594176908,0.032807266389616695,51.6682754994166,1.558783420877334,4.101646187027423,26
21.0,62.08159631795661,4.311485022792848,0.9305319703879684,0.01099325737002592,0.04586998013517818,0.0072600286260989765,0.3845831591746006,0.9847248526609217,6054.50833768239,2367.633848144604,0.030753792037242766,53.40667463407406,1.302436869719713,3.998712335312356,27
21.0,64.46935002249339,3.8782217826296446,0.8713516154771705,0.01052659890739532,0.043232573756560685,0.006380603293320792,0.37286723970350233,0.9816507027449349,5923.69635909828,2235.0206145220677,0.028879312373050074,55.15461105203041,1.064427371073839,3.899408676051565,28
21.0,66.85710372703018,3.465656736370118,0.8154435286803445,0.010091826445590231,0.040726716519829925,0.005616642998263923,0.36180977165827677,0.978067817902325,5781.006984608284,2106.5284733093185,0.02716063107801975,56.911280811211164,0.8434461662411673,3.803172543681295,29
21.0,69.24485743156698,3.0734660183201896,0.7629241421153972,0.009665211844993402,0.0383587422265219,0.004953107088569743,0.3513539806289825,0.9739012082333425,5629.1802527644295,1982.930325976027,0.025577394017403804,58.67595225175995,0.636564186841789,3.709389453654426,30
21.0,71.63261113610376,2.705161518984326,0.7142557742286532,0.009249449450884451,0.03615065542366837,0.004378681394947166,0.34144330673674167,0.9690665127186241,5473.374579482052,1865.5632370845888,0.024109740141673486,60.44793692469998,0.4370289000217617,3.617111741572532,31
21.0,74.02036484064057,2.3633126798046646,0.6695493334146826,0.008862670214688421,0.0341100601998983,0.0038817957610726415,0.33203212583572084,0.963465981935403,5316.958577424451,1754.8826960921358,0.022741939707001377,62.2266163478339,0.239656793338798,3.525634918177657,32
21.0,76.40811854517736,2.05005953687683,0.6292001684248805,0.00850701332078831,0.03225817293825061,0.0034543193741859383,0.3230745332786249,0.9569891213368882,5165.490176270607,1652.1144137753972,0.021459155482954958,64.01144235517833,0.0396776881472392,3.434082670567315,33
